id;brand;model;fuel;options;license_plate;engine_size;model_year;since;price;nr_of_seats;body;longitude;latitude
1;Toyota;Camry;GASOLINE;Sunroof;ABC123;2.5;2022;2022-11-02;100;5;SEDAN;53.2383152;6.5349696
2;Honda;CR-V;DIESEL;Leather Seats;DEF456;1.6;2021;2021-11-02;100;5;SUV;53.2383152;6.5349696
3;Ford;F-150;GASOLINE;4x4;GHI789;5.0;2020;2020-11-02;100;5;TRUCK;53.2383152;6.5349696
4;Chevrolet;Impala;GASOLINE;Bluetooth;JKL012;3.6;2019;2019-11-02;100;5;SEDAN;53.2383152;6.5349696
5;BMW;3 Series;GASOLINE;Navigation;MNO345;2.0;2023;2023-11-02;100;5;SEDAN;53.2383152;6.5349696
6;Mercedes-Benz;E-Class;DIESEL;Premium Sound;PQR678;3.0;2022;2022-11-02;100;5;SEDAN;53.2383152;6.5349696
7;Toyota;RAV4 Hybrid;HYBRID;Backup Camera;STU901;2.5;2021;2021-11-02;100;5;SUV;53.2383152;6.5349696
8;Audi;Q5;GASOLINE;Heated Seats;VWX234;2.0;2020;2020-11-02;100;5;SUV;53.2383152;6.5349696
9;Jeep;Wrangler;GASOLINE;Convertible;YZA567;3.6;2019;2019-11-02;100;5;SUV;53.2383152;6.5349696
10;Nissan;Altima;GASOLINE;Keyless Entry;BCD890;2.5;2023;2023-11-02;100;5;SEDAN;53.2383152;6.5349696
11;Subaru;Outback;GASOLINE;AWD;DEF123;2.5;2022;2022-11-02;100;5;STATIONWAGON;53.2383152;6.5349696
12;Hyundai;Santa Fe;GASOLINE;Apple CarPlay;GHI456;2.5;2021;2021-11-02;100;5;SUV;53.2383152;6.5349696
13;Chevrolet;Traverse;HYBRID;Third Row Seating;JKL789;3.6;2020;2020-11-02;100;5;SUV;53.2383152;6.5349696
14;Ford;Escape;GASOLINE;Blind Spot Monitoring;MNO012;2.5;2019;2019-11-02;100;5;SUV;53.2383152;6.5349696
15;Honda;Civic;GASOLINE;Bluetooth;PQR345;1.8;2023;2023-11-02;100;5;SEDAN;53.2383152;6.5349696
16;Toyota;Highlander;DIESEL;Leather Interior;STU678;2.5;2022;2022-11-02;100;5;SUV;53.2383152;6.5349696
17;BMW;5 Series;GASOLINE;Heads-Up Display;VWX901;2.0;2021;2021-11-02;100;5;SEDAN;53.2383152;6.5349696
18;Mercedes-Benz;GLC-Class;GASOLINE;Power Liftgate;YZA234;2.0;2020;2020-11-02;100;5;SUV;53.2383152;6.5349696
19;Audi;A4;HYBRID;Virtual Cockpit;BCD567;2.0;2019;2019-11-02;100;5;SEDAN;53.2383152;6.5349696
20;Nissan;Murano;GASOLINE;Panoramic Roof;DEF890;3.5;2023;2023-11-02;100;5;SUV;53.2383152;6.5349696
21;Subaru;Forester;GASOLINE;All-Weather Package;GHI123;2.5;2022;2022-11-02;100;5;SUV;53.2383152;6.5349696
22;Jeep;Cherokee;GASOLINE;Lane Departure Warning;JKL456;2.4;2021;2021-11-02;100;5;SUV;53.2383152;6.5349696
23;Hyundai;Kona Electric;ELECTRIC;Wireless Charging;MNO789;64 kWh;2020;2020-11-02;100;5;SUV;53.2383152;6.5349696
24;Chevrolet;Malibu;GASOLINE;Remote Start;PQR012;1.5;2019;2019-11-02;100;5;SEDAN;53.2383152;6.5349696
25;Ford;Explorer;DIESEL;7-Passenger Seating;STU345;3.0;2023;2023-11-02;100;5;SUV;53.2383152;6.5349696
26;Honda;Fit;GASOLINE;Keyless Ignition;VWX678;1.5;2022;2022-11-02;100;5;HATCHBACK;53.2383152;6.5349696
27;Toyota;4Runner;GASOLINE;Off-Road Package;YZA901;4.0;2021;2021-11-02;100;5;SUV;53.2383152;6.5349696
28;BMW;7 Series;HYBRID;Massage Seats;BCD234;3.0;2020;2020-11-02;100;5;SEDAN;53.2383152;6.5349696
29;Mercedes-Benz;A-Class;GASOLINE;Wireless CarPlay;DEF567;2.0;2019;2019-11-02;100;5;SEDAN;53.2383152;6.5349696
30;Audi;Q3;GASOLINE;Adaptive Cruise Control;GHI890;2.0;2023;2023-11-02;100;5;SUV;53.2383152;6.5349696
