id;street_address;postal_code;city;state_province
1;throughout;furthermore deafening hastily;Kennewick;oh gee porter
2;ack hastily propane;goodbye sweep;Rohanstead;fervently or
3;outstanding now strong;boastfully;South Wiltonshire;enormously workbench
4;anthologise ouch although;athletic;Port Paxtonside;fooey
5;fatally wholly;atop navigate skinny;Halvorsonside;to geez however
6;hmph;obnoxiously plane;Napoleonshire;past fooey
7;essay;cavort supposing;East Kaela;incidentally acidly
8;beyond from;wasteful duh;Berkeley;internal
9;unlike;gosh;Dashawnchester;by
10;boohoo even than;below;Daynechester;faithfully
