id;code;longitude;latitude;from_date;to_date;state
1;amidst mechanically successfully;2059.38;2733.97;2023-12-07;2023-12-06;RESERVED
2;as mother;18960.93;19482.86;2023-12-07;2023-12-06;RETURNED
3;wildly;10702.35;24364.26;2023-12-06;2023-12-06;RETURNED
4;till;9145.8;20886.46;2023-12-07;2023-12-06;RETURNED
5;oof yuck;23476.01;22275.35;2023-12-07;2023-12-07;PICKUP
6;weighty;23094.64;19608.58;2023-12-07;2023-12-07;RETURNED
7;tomorrow after arid;5920.45;17874.15;2023-12-06;2023-12-07;PICKUP
8;romance steep;16856.52;24387.7;2023-12-06;2023-12-07;RESERVED
9;via before;18418.18;23261.79;2023-12-07;2023-12-06;ACTIVE
10;graft headlight fooey;13463.81;7224.03;2023-12-06;2023-12-07;RESERVED
